Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-09-18 10:13:34,        0,  29.8,   2.4,  30.5,  0.543, -0.008,  0.000,     -2.9,  1,  21.9,   1.2, 0.100
2025-09-18 10:13:35,        0,  29.8,   2.3,  30.5,  0.542, -0.008,  0.000,    -11.2,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:36,        0,  29.8,   2.4,  30.5,  0.541, -0.009,  0.000,    -19.5,  1,  21.9,   1.2, 0.100
2025-09-18 10:13:37,        0,  29.9,   2.6,  30.5,  0.540, -0.008,  0.000,    -27.5,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:38,        0,  29.8,   2.4,  30.5,  0.540, -0.008,  0.000,    -35.2,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:39,        0,  29.9,   2.6,  30.5,  0.538, -0.008,  0.000,    -42.9,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:40,        0,  29.8,   2.4,  30.5,  0.538, -0.008,  0.000,    -52.6,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:41,        0,  29.9,   2.6,  30.5,  0.537, -0.008,  0.000,   1066.3,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:42,        0,  29.8,   2.4,  30.5,  3.095,  2.250,  0.009,   3896.4,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:43,        0,  29.6,   1.9,  30.5,  0.993,  0.012,  0.000,   3926.5,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:44,        0,  29.5,   1.4,  30.5,  0.890, -0.005,  0.000,   3921.3,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:45,        0,  29.5,   1.5,  30.5,  0.849, -0.006,  0.000,   3915.3,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:46,        0,  29.5,   1.6,  30.5,  0.811, -0.006,  0.000,   3909.6,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:47,        0,  29.5,   1.5,  30.5,  0.756, -0.005,  0.000,   3904.4,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:48,        0,  29.6,   1.8,  30.5,  0.706, -0.006,  0.000,   3898.1,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:49,        0,  29.6,   1.8,  30.5,  0.680, -0.007,  0.000,   3891.8,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:50,        0,  29.6,   1.9,  30.5,  0.661, -0.007,  0.000,   3884.7,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:51,        0,  29.6,   1.9,  30.5,  0.641, -0.009,  0.000,   3877.0,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:52,        0,  30.0,   3.1,  30.5,  0.955,  0.340,  0.002,   5462.3,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:53,        0,  30.0,   2.9,  30.5,  4.989,  4.413,  0.022,   9656.8,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:54,        0,  29.6,   1.8,  30.5,  5.018,  4.443,  0.022,  13827.0,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:55,        0,  29.2,   0.7,  30.5,  3.404,  2.605,  0.012,  15414.9,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:56,        0,  30.5,   4.5,  30.5,  6.013,  5.609,  0.034,  20208.6,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:57,        0,  30.6,   4.8,  30.5,  6.154,  5.768,  0.036,  26140.3,  1,  21.9,   1.3, 0.100
2025-09-18 10:13:58,        0,  31.5,   7.4,  30.5,  8.335,  8.336,  0.070,  33156.1,  1,  21.9,   1.2, 0.101
2025-09-18 10:13:59,        0,  31.6,   7.9,  30.5,  9.405,  9.600,  0.090,  42349.4,  1,  21.9,   1.3, 0.101
2025-09-18 10:14:00,        0,  32.6,  10.8,  30.5, 11.908, 12.571,  0.150,  56484.6,  1,  21.9,   1.2, 0.092
2025-09-18 10:14:01,        0,  31.5,   7.6,  30.5, 15.481, 16.833,  0.262,  70609.5,  1,  21.9,   1.2, 0.096
2025-09-18 10:14:02,        0,  35.5,  19.4,  30.5, 13.463, 14.421,  0.202,  85086.0,  1,  21.9,   1.2, 0.098
2025-09-18 10:14:03,        0,  35.6,  19.9,  30.5, 18.388, 20.312,  0.377, 105027.3,  1,  21.8,   1.2, 0.099
2025-09-18 10:14:04,        0,  36.2,  21.7,  30.5, 17.605, 19.379,  0.352, 129511.4,  1,  21.9,   1.2, 0.099
2025-09-18 10:14:05,        0,  37.9,  26.7,  30.5, 21.263, 23.774,  0.506, 152492.2,  1,  21.9,   1.2, 0.099
2025-09-18 10:14:06,        0,  37.2,  24.6,  30.5, 24.777, 28.037,  0.695, 179547.8,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:07,        0,  37.8,  26.5,  30.5, 27.806, 31.729,  0.884, 209232.3,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:08,        0,  39.4,  31.2,  30.5, 25.053, 28.457,  0.713, 243502.8,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:09,        0,  37.0,  24.1,  30.5, 29.368, 33.731,  0.991, 274055.7,  1,  21.8,   1.2, 0.100
2025-09-18 10:14:10,        0,  34.8,  17.4,  30.5, 29.163, 33.519,  0.978, 303723.3,  1,  21.8,   1.2, 0.100
2025-09-18 10:14:11,        0,  38.3,  28.0,  30.5, 26.902, 30.784,  0.842, 330494.2,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:12,        0,  40.3,  33.8,  30.5, 31.599, 36.533,  1.155, 370278.5,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:13,        0,  38.9,  29.7,  30.5, 30.150, 34.825,  1.052, 404198.8,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:14,        0,  38.5,  28.6,  30.5, 31.368, 36.355,  1.145, 438018.9,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:15,        0,  39.0,  30.1,  30.5, 31.566, 36.657,  1.163, 471665.1,  1,  21.9,   1.3, 0.109
2025-09-18 10:14:16,        0,  38.8,  29.4,  30.5, 25.962, 29.751,  0.773, 505765.7,  1,  21.9,   1.2, 0.109
2025-09-18 10:14:17,        0,  37.7,  26.0,  30.5, 29.192, 33.734,  0.985, 537276.1,  1,  21.9,   1.2, 0.104
2025-09-18 10:14:18,        0,  37.4,  25.2,  30.5, 27.987, 32.262,  0.907, 566215.3,  1,  21.9,   1.2, 0.102
2025-09-18 10:14:19,        0,  34.8,  17.4,  30.5, 25.148, 28.749,  0.723, 593156.7,  1,  21.9,   1.2, 0.101
2025-09-18 10:14:20,        0,  34.9,  17.8,  30.5, 24.217, 27.583,  0.669, 621967.2,  1,  21.8,   1.2, 0.100
2025-09-18 10:14:21,        0,  34.9,  17.6,  30.5, 16.686, 18.329,  0.307, 641126.4,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:22,        0,  34.0,  14.9,  30.5, 24.090, 27.363,  0.661, 664272.6,  1,  21.8,   1.2, 0.100
2025-09-18 10:14:23,        0,  36.2,  21.5,  30.5, 17.877, 19.744,  0.355, 684477.2,  1,  21.9,   1.2, 0.100
2025-09-18 10:14:24,        0,  37.2,  24.7,  30.5, 20.318, 22.672,  0.463, 706315.6,  1,  21.9,   1.2, 0.100
