Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-09-30 13:14:51,        0,  29.6,   1.8,  25.2,  0.201, -0.003,  0.000,     -2.6,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:52,        0,  29.5,   1.6,  25.1,  0.201, -0.003,  0.000,     -5.4,  1,  21.8,   1.2, 0.100
2025-09-30 13:14:53,        0,  29.6,   1.8,  25.2,  0.201, -0.003,  0.000,     -8.6,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:54,        0,  29.5,   1.6,  25.2,  0.202, -0.003,  0.000,    -11.4,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:55,        0,  29.6,   1.8,  25.2,  0.202, -0.003,  0.000,    -14.3,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:56,        0,  29.5,   1.5,  25.2,  0.202, -0.003,  0.000,    -17.5,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:57,        0,  29.6,   1.8,  25.2,  0.203, -0.003,  0.000,    -20.6,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:58,        0,  29.5,   1.6,  25.2,  0.204, -0.003,  0.000,    -24.0,  1,  21.8,   1.3, 0.100
2025-09-30 13:14:59,        0,  29.6,   1.8,  25.2,  0.203, -0.003,  0.000,    -26.9,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:00,        0,  29.6,   1.8,  25.2,  0.204, -0.003,  0.000,    -29.8,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:01,        0,  29.6,   1.8,  25.2,  0.203, -0.003,  0.000,    -33.2,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:02,        0,  29.6,   1.8,  25.2,  0.202, -0.003,  0.000,    -36.0,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:03,        0,  29.7,   2.0,  25.2,  0.202, -0.003,  0.000,    -38.9,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:04,        0,  29.7,   2.0,  25.2,  0.202, -0.003,  0.000,    -41.8,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:05,        0,  29.8,   2.3,  25.2,  0.201, -0.003,  0.000,    -45.2,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:06,        0,  30.2,   3.6,  25.2,  4.318,  4.097,  0.021,   2413.0,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:07,        0,  31.0,   6.1,  25.2,  5.984,  5.905,  0.035,   8066.9,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:08,        0,  30.9,   5.6,  25.2,  8.544,  7.369,  0.053,  15818.3,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:09,        0,  31.8,   8.5,  25.2,  8.285,  8.824,  0.075,  26834.1,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:10,        0,  32.4,  10.3,  25.2,  9.721, 10.655,  0.106,  37695.7,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:11,        0,  32.8,  11.5,  25.2, 10.593, 11.764,  0.125,  48910.6,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:12,        0,  34.0,  15.1,  25.2, 14.677, 17.029,  0.251,  64194.5,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:13,        0,  34.9,  17.8,  25.2, 19.862, 23.727,  0.471,  89213.0,  1,  21.8,   1.3, 0.100
2025-09-30 13:15:14,        0,  34.6,  16.9,  25.1, 19.892, 23.758,  0.478, 109411.2,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:15,        0,  34.6,  16.9,  25.1, 13.086, 14.943,  0.199, 125391.8,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:16,        0,  36.3,  22.0,  25.1, 25.990, 31.670,  0.826, 151276.0,  1,  21.8,   1.3, 0.079
2025-09-30 13:15:17,        0,  37.1,  24.3,  25.1, 21.629, 25.989,  0.565, 184885.0,  1,  21.7,   1.3, 0.095
2025-09-30 13:15:18,        0,  38.7,  29.1,  25.1, 31.360, 38.684,  1.214, 218059.2,  1,  21.7,   1.3, 0.098
2025-09-30 13:15:19,        0,  41.1,  36.2,  25.1, 27.302, 33.402,  0.914, 250599.6,  1,  21.7,   1.3, 0.099
2025-09-30 13:15:20,        0,  41.5,  37.6,  25.1, 27.445, 33.594,  0.935, 284740.5,  1,  21.8,   1.3, 0.099
2025-09-30 13:15:21,        0,  43.2,  42.6,  25.1, 34.476, 42.827,  1.481, 337061.4,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:22,        0,  44.0,  45.0,  25.2, 39.824, 49.984,  1.998, 383114.2,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:23,        0,  43.9,  44.7,  25.1, 36.339, 45.445,  1.658, 428865.3,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:24,        0,  43.0,  42.1,  25.1, 41.473, 52.320,  2.178, 477036.1,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:25,        0,  39.8,  32.4,  25.1, 41.064, 51.852,  2.135, 532619.2,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:26,        0,  43.0,  41.9,  25.1, 38.101, 47.932,  1.862, 578748.0,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:27,        0,  43.9,  44.7,  25.1, 40.253, 50.967,  2.067, 627676.7,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:28,        0,  42.2,  39.5,  25.1, 39.638, 50.166,  1.992, 675353.0,  1,  21.7,   1.3, 0.100
2025-09-30 13:15:29,        0,  47.0,  54.1,  25.2, 41.833, 53.142,  2.229, 734413.1,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:30,        0,  48.9,  59.6,  25.1, 49.180, 63.015,  3.108, 792936.8,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:31,        0,  44.9,  47.8,  25.2, 47.556, 61.076,  2.942, 846690.6,  1,  21.8,   1.3, 0.110
2025-09-30 13:15:32,        0,  48.2,  57.5,  25.2, 42.132, 53.804,  2.281, 898749.1,  1,  21.8,   1.3, 0.113
2025-09-30 13:15:33,        0,  46.3,  52.0,  25.2, 41.958, 53.644,  2.272, 960708.4,  1,  21.7,   1.2, 0.107
2025-09-30 13:15:34,        0,  44.7,  47.2,  25.2, 48.208, 62.127,  2.998,1017681.3,  1,  21.7,   1.2, 0.103
2025-09-30 13:15:35,        0,  39.7,  32.1,  25.2, 40.952, 52.424,  2.153,1065684.2,  1,  21.7,   1.2, 0.101
2025-09-30 13:15:36,        0,  44.8,  47.5,  25.2, 30.281, 38.045,  1.156,1105888.7,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:37,        0,  35.0,  17.9,  25.2, 35.657, 45.225,  1.617,1160366.9,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:38,        0,  44.0,  44.9,  25.2, 20.836, 25.307,  0.535,1186256.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:39,        0,  36.9,  23.8,  25.2, 32.146, 40.377,  1.313,1226996.1,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:40,        0,  43.1,  42.3,  25.2, 27.359, 33.933,  0.953,1259546.5,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:41,        0,  42.5,  40.4,  25.2, 34.530, 43.469,  1.501,1310809.2,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:42,        0,  45.3,  48.8,  25.2, 30.271, 37.746,  1.151,1349901.3,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:43,        0,  44.7,  47.0,  25.3, 41.305, 52.463,  2.169,1399617.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:44,        0,  43.6,  43.7,  25.3, 31.887, 39.947,  1.281,1442267.4,  1,  21.8,   1.1, 0.100
2025-09-30 13:15:45,        0,  41.2,  36.5,  25.3, 35.476, 44.721,  1.589,1496273.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:46,        0,  45.7,  50.0,  25.3, 34.380, 43.264,  1.490,1537626.8,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:47,        0,  42.1,  39.4,  25.3, 40.464, 51.413,  2.081,1585748.9,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:48,        0,  43.7,  44.1,  25.3, 23.016, 28.055,  0.659,1616198.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:49,        0,  43.0,  41.9,  25.2, 35.969, 45.330,  1.645,1667886.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:50,        0,  41.2,  36.5,  25.3, 36.078, 45.508,  1.643,1711252.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:51,        0,  41.1,  36.2,  25.3, 32.636, 40.827,  1.336,1749940.5,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:52,        0,  36.3,  21.9,  25.3, 31.964, 39.898,  1.276,1787018.4,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:53,        0,  43.0,  41.9,  25.3, 27.681, 34.089,  0.945,1825559.9,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:54,        0,  39.2,  30.5,  25.3, 31.722, 39.414,  1.263,1865300.1,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:55,        0,  39.6,  31.7,  25.3, 31.388, 38.912,  1.225,1901270.9,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:56,        0,  42.8,  41.3,  25.3, 33.291, 41.433,  1.382,1938337.5,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:57,        0,  39.3,  30.9,  25.3, 33.746, 42.020,  1.422,1988123.1,  1,  21.7,   1.2, 0.100
2025-09-30 13:15:58,        0,  43.4,  43.1,  25.3, 36.341, 45.434,  1.655,2028916.4,  1,  21.8,   1.2, 0.100
2025-09-30 13:15:59,        0,  42.7,  41.1,  25.3, 38.605, 48.493,  1.872,2073299.8,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:00,        0,  40.8,  35.5,  25.3, 31.657, 39.294,  1.252,2112101.1,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:01,        0,  40.9,  35.6,  25.3, 41.919, 52.823,  2.216,2165783.8,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:02,        0,  42.0,  38.9,  25.3, 29.817, 36.827,  1.115,2202183.7,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:03,        0,  41.4,  37.1,  25.3, 25.538, 31.131,  0.799,2236979.1,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:04,        0,  42.8,  41.4,  25.3, 31.270, 38.625,  1.213,2272977.3,  1,  21.8,   1.2, 0.100
2025-09-30 13:16:05,        0,  45.5,  49.5,  25.3, 38.488, 48.105,  1.853,2318702.4,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:06,        0,  41.2,  36.7,  25.3, 36.259, 45.259,  1.656,2374795.4,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:07,        0,  44.2,  45.5,  25.3, 37.449, 46.806,  1.754,2417702.1,  1,  21.8,   1.2, 0.100
2025-09-30 13:16:08,        0,  42.8,  41.4,  25.3, 33.644, 41.811,  1.430,2458662.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:09,        0,  42.6,  40.7,  25.3, 40.419, 50.703,  2.056,2504029.7,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:10,        0,  41.5,  37.6,  25.3, 28.644, 35.207,  1.017,2549985.1,  1,  21.8,   1.2, 0.100
2025-09-30 13:16:11,        0,  38.5,  28.6,  25.3, 29.714, 36.586,  1.087,2585903.7,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:12,        0,  41.4,  37.3,  25.3, 31.999, 39.539,  1.268,2622238.4,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:13,        0,  39.8,  32.5,  25.3, 27.950, 34.230,  0.970,2658871.5,  1,  21.8,   1.2, 0.100
2025-09-30 13:16:14,        0,  41.1,  36.2,  25.3, 37.593, 46.881,  1.765,2708648.9,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:15,        0,  42.4,  40.1,  25.3, 29.805, 36.658,  1.099,2746781.7,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:16,        0,  40.4,  34.2,  25.3, 29.479, 36.224,  1.080,2786032.7,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:17,        0,  41.2,  36.7,  25.3, 33.985, 42.162,  1.442,2825642.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:18,        0,  44.5,  46.5,  25.3, 24.620, 29.841,  0.750,2859133.8,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:19,        0,  40.2,  33.5,  25.3, 38.942, 48.696,  1.902,2914490.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:20,        0,  42.7,  41.1,  25.4, 25.307, 30.756,  0.791,2946721.8,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:21,        0,  39.1,  30.4,  25.3, 28.164, 34.482,  0.979,2984513.7,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:22,        0,  39.0,  29.9,  25.4, 27.577, 33.666,  0.929,3017075.5,  1,  21.7,   1.3, 0.100
2025-09-30 13:16:23,        0,  41.0,  36.0,  25.4, 31.094, 38.199,  1.189,3060022.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:24,        0,  38.8,  29.3,  25.3, 27.615, 33.644,  0.931,3093388.3,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:25,        0,  40.7,  35.2,  25.4, 29.613, 36.216,  1.075,3128194.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:26,        0,  39.9,  32.8,  25.3, 27.343, 33.224,  0.909,3161779.2,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:27,        0,  39.2,  30.7,  25.4, 24.629, 29.614,  0.735,3195718.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:28,        0,  37.2,  24.5,  25.4, 27.237, 33.016,  0.908,3226825.9,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:29,        0,  36.9,  23.8,  25.4, 25.537, 30.755,  0.788,3255912.6,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:30,        0,  34.4,  16.1,  25.4, 21.386, 25.340,  0.544,3277105.2,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:31,        0,  36.8,  23.3,  25.4, 21.150, 24.967,  0.530,3299279.5,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:32,        0,  38.7,  29.1,  25.4, 28.859, 34.924,  1.010,3334775.2,  1,  21.7,   1.1, 0.100
2025-09-30 13:16:33,        0,  38.6,  28.8,  25.4, 27.290, 32.880,  0.902,3365351.9,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:34,        0,  37.5,  25.5,  25.4, 19.498, 22.782,  0.462,3390439.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:35,        0,  37.9,  26.6,  25.4, 26.365, 31.628,  0.834,3419206.1,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:36,        0,  34.1,  15.3,  25.4, 16.981, 19.468,  0.341,3448236.2,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:37,        0,  35.7,  20.2,  25.4, 18.130, 20.911,  0.380,3466955.3,  1,  21.7,   1.1, 0.100
2025-09-30 13:16:38,        0,  35.4,  19.1,  25.4, 16.575, 18.919,  0.318,3486514.2,  1,  21.7,   1.1, 0.100
2025-09-30 13:16:39,        0,  36.5,  22.4,  25.4, 16.729, 19.099,  0.321,3505456.3,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:40,        0,  31.2,   6.7,  25.4, 15.252, 17.183,  0.264,3529599.3,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:41,        0,  30.6,   4.8,  25.4, 14.899, 16.710,  0.268,3544584.5,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:42,        0,  36.4,  22.2,  25.5, 18.167, 20.863,  0.383,3561054.5,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:43,        0,  35.6,  19.9,  25.4, 16.749, 19.040,  0.321,3581301.8,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:44,        0,  35.5,  19.4,  25.4, 17.050, 19.409,  0.335,3601214.3,  1,  21.7,   1.1, 0.100
2025-09-30 13:16:45,        0,  34.1,  15.3,  25.4, 16.180, 18.279,  0.296,3622872.7,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:46,        0,  35.5,  19.4,  25.4, 15.452, 17.333,  0.383,3640981.0,  1,  21.7,   1.2, 0.100
2025-09-30 13:16:47,        0,  32.4,  10.2,  25.4, 17.380, 19.780,  0.345,3660172.2,  1,  21.7,   1.2, 0.100
