titrant_volume_mL,total_DIC_uncertainty_percent
0.15,0.2414569969189224
0.3,0.2441609462658578
0.45,0.24941808208886196
0.6,0.25688486461141297
0.75,0.26620468296308797
0.9,0.2768680891853577
1.05,0.28987613782790145
1.2,0.3011305100010625
1.35,0.3180229712207618
1.5,0.33487757373879906
1.65,0.35291243572513
1.8,0.37197102657362374
1.95,0.38672994846063785
2.1,0.40975192241536684
2.25,0.4139350118618104
2.4,0.4357572503416237
2.55,0.43283471785678757
2.7,0.4268333133859324
2.85,0.4298658630501468
3.0,0.43416804362243117
3.15,0.4141500341138457
3.3,0.4196805394292236
3.45,0.41642166392376284
3.6,0.40712044323974506
3.75,0.4083337892526555
3.9,0.3994431563585924
4.05,0.4018594393717872
4.2,0.396897455741534
