file_number,file_name,slope_last180,r_last180,slope_neg_last180,slope_neg_all,n_points
1,co2data (1).txt,19.00618476,0.22878976831255304,,-8.815588235,480
2,co2data (2).txt,42.73671872588628,0.5766049665169369,,-6.4875,480
3,co2data (3).txt,37.60840694671638,0.4390988607559222,,-8.664460784,481
4,co2data (4).txt,-6.302371472,0.1295512617763863,,-9.033970588,480
5,co2data (5).txt,44.37029754004694,0.4071933007282932,,-8.886764706,480
6,co2data (6).txt,-10.47321003,0.9997794058764133,,-9.177941176,480
7,co2data (7).txt,35.106720474910816,0.47538148851306644,,-8.15,481
8,co2data (8).txt,25.173590131382916,0.42190426509517537,,-8.78,480
9,co2data (9).txt,-3.735155303,0.10069204040686582,,-5.868270677,480
10,co2data (10).txt,49.49071874646359,0.5922535751477208,,-4.693627451,480
11,co2data (11).txt,-6.921242734,0.2645172144878282,,-3.806914345,480
12,co2data (12).txt,47.96331733,0.679790641,,-2.593382353,480
13,co2data (13).txt,-9.093899555,0.7110865045022517,,-8.944175824,480
14,co2data (14).txt,17.992124448285526,0.5331583865103331,,-3.991428571,480
15,co2data (15).txt,-9.793919977,0.9997598619165292,,-4.137142857,480
16,co2data (16).txt,2.8731842546578177,0.012784245,,-3.37978022,480
17,co2data (17).txt,13.935671779992425,0.7088758424062062,,-2.915357143,480
18,co2data (18).txt,15.295632272600747,0.49041956645378754,,-3.050357143,480
19,co2data (19).txt,-8.732812741,0.9991622624210038,,-3.820714286,480
20,co2data (20).txt,-8.655479696,0.99919806,,-5.790357143,480
21,co2data (21).txt,-8.216083933,0.9987605244604556,,-3.140714286,480
22,co2data (22).txt,81.06618378139251,0.8573435148189306,,,480
23,co2data (23).txt,30.45533586,0.588370078,,-2.050357143,480
24,co2data (24).txt,49.70224605697697,0.6730961894301267,,-5.623928571,480
25,co2data (25).txt,32.446132905336945,0.4764968781225555,,-2.848791209,480
26,co2data (26).txt,-7.820008488,0.9980179734286231,,-3.675,481
27,co2data (27).txt,-7.63892651,0.9977743380371513,,-4.0975,480
28,co2data (28).txt,-7.911221746,0.9977399823839426,,-2.749642857,480
29,co2data (29).txt,-7.441583485,0.9966253530833837,,-3.237802198,480
30,co2data (30).txt,23.78963342489945,0.7031689110853536,,-3.953626374,480
31,co2data (31).txt,15.166144428326028,0.18770043405616327,,-4.654945055,480
32,co2data (32).txt,-7.127440868,0.996880192,,-2.737142857,480
33,co2data (33).txt,-7.064539441,0.99590136,,-4.149558824,480
34,co2data (34).txt,5.105407677191812,0.3176188609907287,,-2.592142857,480
35,co2data (35).txt,30.592800806609503,0.6505648562827634,,-7.4275,480
36,co2data (36).txt,14.795974875767504,0.7065189934754954,,-1.155824176,480
37,co2data (37).txt,13.864617529347372,0.7335056269429568,,-2.773406593,480
38,co2data (38).txt,36.25196734467122,0.4650915806343262,,-2.802857143,480
39,co2data (39).txt,38.18792010041446,0.7534414007009929,,-7.049450549,480
40,co2data (40).txt,16.48539471382903,0.14856879144006582,,-3.716785714,480
41,co2data (41).txt,12.263850324598396,0.636751241,,-2.886813187,480
42,co2data (42).txt,8.427218638435134,0.2535719893573477,,-4.808928571,481
43,co2data (43).txt,6.599558885562505,0.20626615317505786,,-3.668791209,480
44,co2data (44).txt,16.131057028509453,0.6664861202274712,,-2.09,480
45,co2data (45).txt,22.603175509532402,0.48030237374334256,,-2.505357143,481
46,co2data (46).txt,19.37573793429832,0.5915673185637748,,-1.764285714,480
47,co2data (47).txt,-4.334143235,0.9729095168317083,,-1.500294118,480
48,co2data (48).txt,20.70625327942221,0.7646684698953043,,-2.253571429,480
49,co2data (49).txt,13.653664516394263,0.6190851769232534,,-1.724615385,480
50,co2data (50).txt,-0.907876066,0.007069544,,-2.637142857,480
51,co2data (51).txt,-3.321776392,0.9888675289755842,,,480
52,co2data (52).txt,30.231386976964227,0.6545968519702046,,-2.258382353,480
53,co2data (53).txt,5.908042017757551,0.3407359220490528,,-1.66,480
54,co2data (54).txt,13.147101145097077,0.24241224494421398,,-2.50043956,480
55,co2data (55).txt,-3.521567641,0.9738976016943502,,-1.777058824,480
56,co2data (56).txt,39.962783110589946,0.845685779,,-0.226593407,480
57,co2data (57).txt,1.6675591324836492,0.0091588,,-0.919117647,481
58,co2data (58).txt,29.82795014,0.8397129777840993,,-1.88,480
59,co2data (59).txt,40.144689599473345,0.511828771,,-2.746785714,480
60,co2data (60).txt,36.03524707552707,0.6840497014049085,,-6.747647059,480
61,co2data (61).txt,-3.330140025,0.9926729874103469,,-2.323088235,480
62,co2data (62).txt,9.887302591643605,0.18186510883728416,,-3.379705882,480
63,co2data (63).txt,17.088670020679597,0.5624458496075673,,-1.709642857,480
64,co2data (64).txt,-3.553775014,0.981258799,,-1.763928571,480
65,co2data (65).txt,-3.842059837,0.969280624,,-1.481470588,480
66,co2data (66).txt,5.274505283084967,0.041241965486383265,,-4.765357143,480
67,co2data (67).txt,-3.68090867,0.9763727040186754,,-2.196043956,480
68,co2data (68).txt,1.7447060608870533,0.036271509,,-2.195714286,480
