Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251008-05-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	167.400	0.000
0.150	193.800	0.000
0.300	217.850	0.000
0.450	233.150	0.000
0.600	244.500	0.000
0.750	253.700	0.000
0.900	261.800	0.000
1.050	269.000	0.000
1.200	276.050	0.000
1.350	282.950	0.000
1.500	290.100	0.000
1.650	298.050	0.000
1.800	307.100	0.000
1.950	318.200	0.000
2.100	333.700	0.000
2.250	360.700	0.000
2.400	394.500	0.000
2.550	413.350	0.000
2.700	424.700	0.000
2.850	432.550	0.000
3.000	438.550	0.000
3.150	443.550	0.000
3.300	447.650	0.000
3.450	451.200	0.000
3.600	454.300	0.000
3.750	457.000	0.000
3.900	459.700	0.000
4.050	461.900	0.000
