Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250916-05.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	161.050	0.000
0.150	183.850	0.000
0.300	209.850	0.000
0.450	226.850	0.000
0.600	238.900	0.000
0.750	247.950	0.000
0.900	256.250	0.000
1.050	263.350	0.000
1.200	270.050	0.000
1.350	276.800	0.000
1.500	283.500	0.000
1.650	290.450	0.000
1.800	298.200	0.000
1.950	307.050	0.000
2.100	318.150	0.000
2.250	333.850	0.000
2.400	361.350	0.000
2.550	394.650	0.000
2.700	413.750	0.000
2.850	425.150	0.000
3.000	433.100	0.000
3.150	439.350	0.000
3.300	444.350	0.000
3.450	448.500	0.000
3.600	452.150	0.000
3.750	455.250	0.000
3.900	458.050	0.000
4.050	460.600	0.000
