Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250916-08.bak'
titrant_amount	measurement	temperature
0.000	160.450	0.000
0.150	187.850	0.000
0.300	216.150	0.000
0.450	233.500	0.000
0.600	245.250	0.000
0.750	255.050	0.000
0.900	263.750	0.000
1.050	271.750	0.000
1.200	279.550	0.000
1.350	287.850	0.000
1.500	296.800	0.000
1.650	307.250	0.000
1.800	320.950	0.000
1.950	342.850	0.000
2.100	382.750	0.000
2.250	410.450	0.000
2.400	424.800	0.000
2.550	434.150	0.000
2.700	441.050	0.000
2.850	446.550	0.000
3.000	450.950	0.000
3.150	454.800	0.000
3.300	458.100	0.000
3.450	461.150	0.000
3.600	463.750	0.000
3.750	466.100	0.000
3.900	468.350	0.000
4.050	470.300	0.000
