Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-03.bak'
titrant_amount	measurement	temperature
0.000	168.050	0.000
0.150	193.050	0.000
0.300	217.650	0.000
0.450	233.550	0.000
0.600	244.750	0.000
0.750	254.150	0.000
0.900	261.950	0.000
1.050	269.350	0.000
1.200	276.250	0.000
1.350	283.000	0.000
1.500	290.000	0.000
1.650	297.400	0.000
1.800	305.750	0.000
1.950	315.650	0.000
2.100	328.650	0.000
2.250	349.150	0.000
2.400	383.650	0.000
2.550	409.150	0.000
2.700	423.450	0.000
2.850	432.700	0.000
3.000	439.600	0.000
3.150	445.100	0.000
3.300	449.500	0.000
3.450	453.300	0.000
3.600	456.600	0.000
3.750	459.600	0.000
3.900	462.250	0.000
4.050	464.600	0.000
