Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250918-02.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.450	0.000
0.150	195.750	0.000
0.300	218.450	0.000
0.450	233.250	0.000
0.600	243.950	0.000
0.750	252.650	0.000
0.900	260.450	0.000
1.050	267.600	0.000
1.200	274.250	0.000
1.350	281.150	0.000
1.500	288.150	0.000
1.650	295.550	0.000
1.800	304.250	0.000
1.950	314.450	0.000
2.100	328.250	0.000
2.250	351.350	0.000
2.400	386.650	0.000
2.550	408.850	0.000
2.700	421.550	0.000
2.850	430.050	0.000
3.000	436.400	0.000
3.150	441.500	0.000
3.300	445.750	0.000
3.450	449.400	0.000
3.600	452.550	0.000
3.750	455.400	0.000
3.900	457.950	0.000
4.050	460.400	0.000
