Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251009-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.350	0.000
0.150	197.650	0.000
0.300	220.250	0.000
0.450	235.000	0.000
0.600	245.800	0.000
0.750	254.700	0.000
0.900	262.500	0.000
1.050	269.750	0.000
1.200	276.750	0.000
1.350	283.700	0.000
1.500	290.850	0.000
1.650	298.750	0.000
1.800	307.800	0.000
1.950	319.050	0.000
2.100	334.800	0.000
2.250	362.250	0.000
2.400	395.550	0.000
2.550	413.750	0.000
2.700	425.050	0.000
2.850	432.850	0.000
3.000	438.800	0.000
3.150	443.650	0.000
3.300	447.750	0.000
3.450	451.250	0.000
3.600	454.400	0.000
3.750	457.150	0.000
3.900	459.700	0.000
4.050	461.950	0.000
