Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251028-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	172.300	0.000
0.150	198.450	0.000
0.300	221.350	0.000
0.450	236.250	0.000
0.600	247.150	0.000
0.750	256.150	0.000
0.900	263.950	0.000
1.050	271.050	0.000
1.200	278.150	0.000
1.350	284.950	0.000
1.500	292.100	0.000
1.650	299.850	0.000
1.800	308.700	0.000
1.950	319.150	0.000
2.100	333.650	0.000
2.250	357.650	0.000
2.400	391.500	0.000
2.550	412.100	0.000
2.700	424.300	0.000
2.850	432.500	0.000
3.000	438.750	0.000
3.150	443.800	0.000
3.300	448.050	0.000
3.450	451.700	0.000
3.600	454.800	0.000
3.750	457.600	0.000
3.900	460.300	0.000
4.050	462.550	0.000
