Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251017-03-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	181.550	0.000
0.150	208.500	0.000
0.300	228.300	0.000
0.450	241.500	0.000
0.600	251.700	0.000
0.750	260.300	0.000
0.900	267.850	0.000
1.050	274.800	0.000
1.200	281.550	0.000
1.350	288.450	0.000
1.500	295.650	0.000
1.650	303.500	0.000
1.800	312.500	0.000
1.950	323.500	0.000
2.100	338.900	0.000
2.250	365.200	0.000
2.400	398.050	0.000
2.550	416.600	0.000
2.700	428.000	0.000
2.850	435.850	0.000
3.000	441.900	0.000
3.150	446.800	0.000
3.300	450.900	0.000
3.450	454.450	0.000
3.600	457.500	0.000
3.750	460.400	0.000
3.900	462.900	0.000
4.050	465.150	0.000
