Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-07.bak'
titrant_amount	measurement	temperature
0.000	166.400	0.000
0.150	191.050	0.000
0.300	215.950	0.000
0.450	231.800	0.000
0.600	243.400	0.000
0.750	252.400	0.000
0.900	260.450	0.000
1.050	267.750	0.000
1.200	274.600	0.000
1.350	281.300	0.000
1.500	288.150	0.000
1.650	295.700	0.000
1.800	304.050	0.000
1.950	313.850	0.000
2.100	326.600	0.000
2.250	346.750	0.000
2.400	380.550	0.000
2.550	406.650	0.000
2.700	421.150	0.000
2.850	430.550	0.000
3.000	437.400	0.000
3.150	442.900	0.000
3.300	447.400	0.000
3.450	451.150	0.000
3.600	454.500	0.000
3.750	457.400	0.000
3.900	460.200	0.000
4.050	462.500	0.000
