Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-05.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	167.750	0.000
0.150	192.450	0.000
0.300	217.050	0.000
0.450	233.150	0.000
0.600	244.550	0.000
0.750	253.550	0.000
0.900	261.750	0.000
1.050	268.900	0.000
1.200	275.650	0.000
1.350	282.500	0.000
1.500	289.300	0.000
1.650	296.750	0.000
1.800	305.050	0.000
1.950	314.850	0.000
2.100	327.550	0.000
2.250	347.650	0.000
2.400	381.650	0.000
2.550	408.050	0.000
2.700	422.550	0.000
2.850	431.750	0.000
3.000	438.650	0.000
3.150	444.100	0.000
3.300	448.600	0.000
3.450	452.400	0.000
3.600	455.700	0.000
3.750	458.650	0.000
3.900	461.350	0.000
4.050	463.700	0.000
