Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251107-08-2_7mL0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	172.350	0.000
0.150	198.500	0.000
0.300	222.150	0.000
0.450	237.600	0.000
0.600	248.750	0.000
0.750	257.900	0.000
0.900	265.750	0.000
1.050	273.050	0.000
1.200	280.000	0.000
1.350	286.900	0.000
1.500	293.950	0.000
1.650	301.600	0.000
1.800	310.250	0.000
1.950	320.600	0.000
2.100	334.500	0.000
2.250	357.250	0.000
2.400	391.200	0.000
2.550	412.950	0.000
