Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251015-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.950	0.000
0.150	196.300	0.000
0.300	219.750	0.000
0.450	234.950	0.000
0.600	246.100	0.000
0.750	255.150	0.000
0.900	263.200	0.000
1.050	270.450	0.000
1.200	277.350	0.000
1.350	284.450	0.000
1.500	291.650	0.000
1.650	299.600	0.000
1.800	308.550	0.000
1.950	319.550	0.000
2.100	334.900	0.000
2.250	361.150	0.000
2.400	394.650	0.000
2.550	413.650	0.000
2.700	425.100	0.000
2.850	433.000	0.000
3.000	439.100	0.000
3.150	444.000	0.000
3.300	448.150	0.000
3.450	451.700	0.000
3.600	454.800	0.000
3.750	457.600	0.000
3.900	460.150	0.000
4.050	462.500	0.000
