Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251113-14-2_85mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.000	0.000
0.150	195.850	0.000
0.300	219.650	0.000
0.450	234.900	0.000
0.600	245.950	0.000
0.750	255.100	0.000
0.900	262.950	0.000
1.050	270.100	0.000
1.200	277.000	0.000
1.350	283.750	0.000
1.500	290.700	0.000
1.650	298.050	0.000
1.800	306.500	0.000
1.950	316.250	0.000
2.100	329.050	0.000
2.250	349.000	0.000
2.400	381.750	0.000
2.550	407.100	0.000
2.700	421.300	0.000
