Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-13-4_2mL-0_15incrmL_mixing-time-10sec.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.350	0.000
0.150	196.700	0.000
0.300	220.100	0.000
0.450	235.050	0.000
0.600	246.000	0.000
0.750	255.100	0.000
0.900	262.750	0.000
1.050	269.850	0.000
1.200	276.650	0.000
1.350	283.350	0.000
1.500	290.250	0.000
1.650	297.600	0.000
1.800	306.050	0.000
1.950	315.850	0.000
2.100	329.000	0.000
2.250	350.100	0.000
2.400	384.250	0.000
2.550	408.500	0.000
2.700	422.100	0.000
2.850	431.000	0.000
3.000	437.600	0.000
3.150	443.000	0.000
3.300	447.350	0.000
3.450	451.100	0.000
3.600	454.400	0.000
3.750	457.300	0.000
3.900	460.000	0.000
4.050	462.300	0.000
