Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-06.bak'
titrant_amount	measurement	temperature
0.000	167.000	0.000
0.150	191.650	0.000
0.300	216.350	0.000
0.450	232.300	0.000
0.600	243.650	0.000
0.750	252.750	0.000
0.900	260.750	0.000
1.050	268.050	0.000
1.200	274.850	0.000
1.350	281.650	0.000
1.500	288.450	0.000
1.650	295.850	0.000
1.800	304.150	0.000
1.950	313.950	0.000
2.100	326.650	0.000
2.250	346.550	0.000
2.400	380.250	0.000
2.550	406.750	0.000
2.700	421.400	0.000
2.850	430.750	0.000
3.000	437.700	0.000
3.150	443.150	0.000
3.300	447.700	0.000
3.450	451.500	0.000
3.600	454.700	0.000
3.750	457.750	0.000
3.900	460.450	0.000
4.050	462.800	0.000
