Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-10-4_2mL-0_15incrmL_mixing-time-6sec.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.700	0.000
0.150	197.200	0.000
0.300	220.350	0.000
0.450	235.450	0.000
0.600	246.250	0.000
0.750	255.400	0.000
0.900	263.200	0.000
1.050	270.300	0.000
1.200	277.100	0.000
1.350	283.800	0.000
1.500	290.700	0.000
1.650	298.050	0.000
1.800	306.400	0.000
1.950	316.200	0.000
2.100	329.100	0.000
2.250	349.200	0.000
2.400	382.250	0.000
2.550	407.400	0.000
2.700	421.500	0.000
2.850	430.600	0.000
3.000	437.400	0.000
3.150	442.800	0.000
3.300	447.250	0.000
3.450	451.000	0.000
3.600	454.300	0.000
3.750	457.200	0.000
3.900	459.900	0.000
4.050	462.300	0.000
