Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250916-11.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	160.550	0.000
0.150	183.250	0.000
0.300	209.550	0.000
0.450	227.050	0.000
0.600	238.950	0.000
0.750	248.650	0.000
0.900	256.650	0.000
1.050	263.850	0.000
1.200	270.700	0.000
1.350	277.350	0.000
1.500	284.300	0.000
1.650	291.150	0.000
1.800	299.300	0.000
1.950	308.150	0.000
2.100	319.450	0.000
2.250	335.500	0.000
2.400	363.350	0.000
2.550	396.550	0.000
2.700	415.150	0.000
2.850	426.200	0.000
3.000	434.100	0.000
3.150	440.150	0.000
3.300	445.050	0.000
3.450	449.200	0.000
3.600	452.700	0.000
3.750	455.850	0.000
3.900	458.600	0.000
4.050	461.200	0.000
