Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251103-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	168.050	0.000
0.150	194.550	0.000
0.300	219.150	0.000
0.450	235.050	0.000
0.600	246.450	0.000
0.750	255.800	0.000
0.900	263.900	0.000
1.050	271.050	0.000
1.200	278.250	0.000
1.350	285.300	0.000
1.500	292.700	0.000
1.650	300.750	0.000
1.800	310.050	0.000
1.950	321.550	0.000
2.100	337.950	0.000
2.250	366.850	0.000
2.400	398.950	0.000
2.550	416.350	0.000
2.700	427.150	0.000
2.850	434.750	0.000
3.000	440.500	0.000
3.150	445.350	0.000
3.300	449.350	0.000
3.450	452.800	0.000
3.600	455.850	0.000
3.750	458.600	0.000
3.900	461.150	0.000
4.050	463.450	0.000
