Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-14-4_2mL-0_15incrmL_mixing-time-10sec.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.400	0.000
0.150	196.750	0.000
0.300	220.100	0.000
0.450	235.050	0.000
0.600	245.900	0.000
0.750	255.000	0.000
0.900	262.750	0.000
1.050	269.850	0.000
1.200	276.550	0.000
1.350	283.200	0.000
1.500	290.050	0.000
1.650	297.350	0.000
1.800	305.650	0.000
1.950	315.450	0.000
2.100	328.250	0.000
2.250	348.450	0.000
2.400	381.750	0.000
2.550	407.150	0.000
2.700	421.300	0.000
2.850	430.400	0.000
3.000	437.200	0.000
3.150	442.600	0.000
3.300	447.050	0.000
3.450	450.850	0.000
3.600	454.100	0.000
3.750	457.050	0.000
3.900	459.800	0.000
4.050	462.100	0.000
