Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251111-23-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.450	0.000
0.150	195.650	0.000
0.300	220.350	0.000
0.450	236.150	0.000
0.600	247.650	0.000
0.750	256.850	0.000
0.900	265.000	0.000
1.050	272.150	0.000
1.200	279.050	0.000
1.350	285.850	0.000
1.500	292.900	0.000
1.650	300.550	0.000
1.800	309.200	0.000
1.950	319.350	0.000
2.100	333.200	0.000
2.250	355.550	0.000
2.400	389.700	0.000
2.550	412.050	0.000
2.700	425.000	0.000
2.850	433.650	0.000
3.000	440.050	0.000
3.150	445.100	0.000
3.300	449.400	0.000
3.450	453.100	0.000
3.600	456.300	0.000
3.750	459.300	0.000
3.900	461.900	0.000
4.050	464.200	0.000
