Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251023-03-3_6mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	177.650	0.000
0.150	204.550	0.000
0.300	225.350	0.000
0.450	239.150	0.000
0.600	249.450	0.000
0.750	258.100	0.000
0.900	265.800	0.000
1.050	272.750	0.000
1.200	279.650	0.000
1.350	286.500	0.000
1.500	293.550	0.000
1.650	301.300	0.000
1.800	309.950	0.000
1.950	320.500	0.000
2.100	334.800	0.000
2.250	358.550	0.000
2.400	392.050	0.000
2.550	412.850	0.000
2.700	425.100	0.000
2.850	433.400	0.000
3.000	439.700	0.000
3.150	444.800	0.000
3.300	449.100	0.000
3.450	452.700	0.000
