Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-02.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	168.650	0.000
0.150	193.550	0.000
0.300	217.750	0.000
0.450	233.450	0.000
0.600	244.750	0.000
0.750	253.750	0.000
0.900	261.750	0.000
1.050	269.100	0.000
1.200	275.900	0.000
1.350	282.700	0.000
1.500	289.550	0.000
1.650	296.950	0.000
1.800	305.300	0.000
1.950	315.000	0.000
2.100	327.850	0.000
2.250	348.350	0.000
2.400	382.250	0.000
2.550	408.350	0.000
2.700	422.550	0.000
2.850	431.950	0.000
3.000	438.800	0.000
3.150	444.200	0.000
3.300	448.700	0.000
3.450	452.500	0.000
3.600	455.750	0.000
3.750	458.700	0.000
3.900	461.400	0.000
4.050	463.700	0.000
