Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251030-03-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	169.000	0.000
0.150	195.150	0.000
0.300	218.950	0.000
0.450	234.350	0.000
0.600	245.500	0.000
0.750	254.650	0.000
0.900	262.550	0.000
1.050	269.750	0.000
1.200	276.700	0.000
1.350	283.500	0.000
1.500	290.550	0.000
1.650	298.100	0.000
1.800	306.800	0.000
1.950	317.100	0.000
2.100	330.900	0.000
2.250	353.550	0.000
2.400	387.450	0.000
2.550	409.600	0.000
2.700	422.400	0.000
2.850	430.900	0.000
3.000	437.350	0.000
3.150	442.450	0.000
3.300	446.800	0.000
3.450	450.500	0.000
3.600	453.650	0.000
3.750	456.500	0.000
3.900	459.200	0.000
4.050	461.500	0.000
