Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251030-23-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	168.900	0.000
0.150	195.150	0.000
0.300	219.100	0.000
0.450	234.600	0.000
0.600	245.650	0.000
0.750	254.900	0.000
0.900	262.750	0.000
1.050	269.850	0.000
1.200	276.800	0.000
1.350	283.600	0.000
1.500	290.600	0.000
1.650	298.200	0.000
1.800	306.900	0.000
1.950	317.150	0.000
2.100	330.950	0.000
2.250	353.500	0.000
2.400	387.300	0.000
2.550	409.600	0.000
2.700	422.450	0.000
2.850	431.050	0.000
3.000	437.550	0.000
3.150	442.700	0.000
3.300	447.000	0.000
3.450	450.700	0.000
3.600	453.900	0.000
3.750	456.750	0.000
3.900	459.450	0.000
4.050	461.700	0.000
