Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251027-03-3_3mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	173.550	0.000
0.150	200.350	0.000
0.300	222.350	0.000
0.450	236.650	0.000
0.600	247.500	0.000
0.750	256.400	0.000
0.900	264.150	0.000
1.050	271.250	0.000
1.200	278.150	0.000
1.350	285.050	0.000
1.500	292.100	0.000
1.650	299.900	0.000
1.800	308.600	0.000
1.950	319.150	0.000
2.100	333.500	0.000
2.250	357.350	0.000
2.400	391.050	0.000
2.550	411.750	0.000
2.700	423.900	0.000
2.850	432.200	0.000
3.000	438.600	0.000
3.150	443.650	0.000
