Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-07-4_2mL-0_15incrmL_mixing-time-8sec.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.800	0.000
0.150	196.850	0.000
0.300	220.250	0.000
0.450	235.400	0.000
0.600	246.400	0.000
0.750	255.350	0.000
0.900	263.300	0.000
1.050	270.450	0.000
1.200	277.250	0.000
1.350	284.000	0.000
1.500	290.850	0.000
1.650	298.300	0.000
1.800	306.750	0.000
1.950	316.700	0.000
2.100	329.750	0.000
2.250	350.600	0.000
2.400	384.350	0.000
2.550	408.700	0.000
2.700	422.400	0.000
2.850	431.350	0.000
3.000	438.050	0.000
3.150	443.300	0.000
3.300	447.750	0.000
3.450	451.500	0.000
3.600	454.750	0.000
3.750	457.700	0.000
3.900	460.400	0.000
4.050	462.700	0.000
