Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251014-02-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	166.850	0.000
0.150	193.350	0.000
0.300	217.750	0.000
0.450	233.550	0.000
0.600	244.850	0.000
0.750	254.150	0.000
0.900	262.350	0.000
1.050	269.700	0.000
1.200	276.750	0.000
1.350	283.900	0.000
1.500	291.050	0.000
1.650	299.000	0.000
1.800	308.150	0.000
1.950	319.300	0.000
2.100	334.850	0.000
2.250	361.550	0.000
2.400	395.050	0.000
2.550	413.650	0.000
2.700	425.050	0.000
2.850	432.850	0.000
3.000	438.950	0.000
3.150	443.800	0.000
3.300	447.950	0.000
3.450	451.450	0.000
3.600	454.550	0.000
3.750	457.350	0.000
3.900	459.950	0.000
4.050	462.250	0.000
