Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251027-01-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	174.050	0.000
0.150	200.350	0.000
0.300	222.600	0.000
0.450	236.950	0.000
0.600	247.550	0.000
0.750	256.550	0.000
0.900	264.300	0.000
1.050	271.400	0.000
1.200	278.300	0.000
1.350	285.200	0.000
1.500	292.300	0.000
1.650	300.100	0.000
1.800	308.900	0.000
1.950	319.500	0.000
2.100	334.100	0.000
2.250	358.450	0.000
2.400	392.200	0.000
2.550	412.400	0.000
2.700	424.400	0.000
2.850	432.550	0.000
3.000	438.800	0.000
3.150	443.800	0.000
3.300	448.100	0.000
3.450	451.650	0.000
3.600	454.850	0.000
3.750	457.650	0.000
3.900	460.300	0.000
4.050	462.600	0.000
