Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old-251103-03-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	167.900	0.000
0.150	193.500	0.000
0.300	218.100	0.000
0.450	234.050	0.000
0.600	245.450	0.000
0.750	254.800	0.000
0.900	262.900	0.000
1.050	270.050	0.000
1.200	277.100	0.000
1.350	284.050	0.000
1.500	291.200	0.000
1.650	298.750	0.000
1.800	307.450	0.000
1.950	317.850	0.000
2.100	331.800	0.000
2.250	354.700	0.000
2.400	388.800	0.000
2.550	410.650	0.000
2.700	423.400	0.000
2.850	431.900	0.000
3.000	438.250	0.000
3.150	443.350	0.000
3.300	447.800	0.000
3.450	451.250	0.000
3.600	454.550	0.000
3.750	457.350	0.000
3.900	460.100	0.000
4.050	462.350	0.000
