Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251107-07-2_7mL0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	172.600	0.000
0.150	198.650	0.000
0.300	222.400	0.000
0.450	237.800	0.000
0.600	248.950	0.000
0.750	258.150	0.000
0.900	265.950	0.000
1.050	273.250	0.000
1.200	280.200	0.000
1.350	287.100	0.000
1.500	294.100	0.000
1.650	301.800	0.000
1.800	310.400	0.000
1.950	320.700	0.000
2.100	334.600	0.000
2.250	357.200	0.000
2.400	391.050	0.000
2.550	413.000	0.000
