Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250916-06.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	160.550	0.000
0.150	182.450	0.000
0.300	208.550	0.000
0.450	225.950	0.000
0.600	238.150	0.000
0.750	247.250	0.000
0.900	255.500	0.000
1.050	262.900	0.000
1.200	269.650	0.000
1.350	276.150	0.000
1.500	282.900	0.000
1.650	289.850	0.000
1.800	297.550	0.000
1.950	306.450	0.000
2.100	317.250	0.000
2.250	332.850	0.000
2.400	359.950	0.000
2.550	393.850	0.000
2.700	413.050	0.000
2.850	424.650	0.000
3.000	432.700	0.000
3.150	439.000	0.000
3.300	444.050	0.000
3.450	448.250	0.000
3.600	451.900	0.000
3.750	455.000	0.000
3.900	457.850	0.000
4.050	460.500	0.000
