Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_3-251112-08-4_2mL-0_15incrmL_mixing-time-8sec.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.800	0.000
0.150	197.250	0.000
0.300	220.450	0.000
0.450	235.450	0.000
0.600	246.350	0.000
0.750	255.400	0.000
0.900	263.250	0.000
1.050	270.300	0.000
1.200	277.100	0.000
1.350	283.750	0.000
1.500	290.650	0.000
1.650	297.950	0.000
1.800	306.250	0.000
1.950	316.000	0.000
2.100	328.850	0.000
2.250	348.950	0.000
2.400	382.200	0.000
2.550	407.500	0.000
2.700	421.600	0.000
2.850	430.750	0.000
3.000	437.450	0.000
3.150	442.900	0.000
3.300	447.450	0.000
3.450	451.200	0.000
3.600	454.500	0.000
3.750	457.400	0.000
3.900	460.100	0.000
4.050	462.450	0.000
