Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-04.bak'
titrant_amount	measurement	temperature
0.000	168.750	0.000
0.150	193.450	0.000
0.300	218.000	0.000
0.450	233.550	0.000
0.600	245.050	0.000
0.750	254.250	0.000
0.900	262.050	0.000
1.050	269.350	0.000
1.200	275.950	0.000
1.350	283.050	0.000
1.500	289.850	0.000
1.650	297.200	0.000
1.800	305.600	0.000
1.950	315.250	0.000
2.100	327.950	0.000
2.250	347.950	0.000
2.400	382.150	0.000
2.550	408.250	0.000
2.700	422.750	0.000
2.850	432.100	0.000
3.000	438.900	0.000
3.150	444.350	0.000
3.300	448.900	0.000
3.450	452.650	0.000
3.600	455.900	0.000
3.750	459.000	0.000
3.900	461.600	0.000
4.050	463.950	0.000
