Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251009-03-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	170.050	0.000
0.150	197.000	0.000
0.300	219.850	0.000
0.450	234.550	0.000
0.600	245.450	0.000
0.750	254.500	0.000
0.900	262.450	0.000
1.050	269.600	0.000
1.200	276.600	0.000
1.350	283.350	0.000
1.500	290.650	0.000
1.650	298.550	0.000
1.800	307.750	0.000
1.950	318.800	0.000
2.100	334.250	0.000
2.250	360.950	0.000
2.400	394.550	0.000
2.550	413.350	0.000
2.700	424.700	0.000
2.850	432.600	0.000
3.000	438.650	0.000
3.150	443.600	0.000
3.300	447.750	0.000
3.450	451.350	0.000
3.600	454.400	0.000
3.750	457.200	0.000
3.900	459.750	0.000
4.050	462.050	0.000
