Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk_old_2-251107-10-4_2mL0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	171.850	0.000
0.150	197.850	0.000
0.300	221.700	0.000
0.450	236.950	0.000
0.600	248.250	0.000
0.750	257.450	0.000
0.900	265.400	0.000
1.050	272.600	0.000
1.200	279.550	0.000
1.350	286.400	0.000
1.500	293.500	0.000
1.650	301.200	0.000
1.800	309.800	0.000
1.950	320.100	0.000
2.100	333.900	0.000
2.250	356.400	0.000
2.400	390.150	0.000
2.550	412.300	0.000
2.700	424.950	0.000
2.850	433.600	0.000
3.000	440.000	0.000
3.150	445.150	0.000
3.300	449.500	0.000
3.450	453.100	0.000
3.600	456.350	0.000
3.750	459.300	0.000
3.900	461.800	0.000
4.050	464.150	0.000
