Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nuts-251029-12-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	157.700	0.000
0.150	176.950	0.000
0.300	204.700	0.000
0.450	226.250	0.000
0.600	240.600	0.000
0.750	251.400	0.000
0.900	260.450	0.000
1.050	268.400	0.000
1.200	275.750	0.000
1.350	283.150	0.000
1.500	290.600	0.000
1.650	298.450	0.000
1.800	307.550	0.000
1.950	318.400	0.000
2.100	332.900	0.000
2.250	357.250	0.000
2.400	391.600	0.000
2.550	412.150	0.000
2.700	424.250	0.000
2.850	432.550	0.000
3.000	438.800	0.000
3.150	443.800	0.000
3.300	448.000	0.000
3.450	451.650	0.000
3.600	454.800	0.000
3.750	457.700	0.000
3.900	460.250	0.000
4.050	462.550	0.000
