Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-251001-12-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	158.800	0.000
0.150	181.550	0.000
0.300	208.650	0.000
0.450	227.050	0.000
0.600	239.750	0.000
0.750	249.750	0.000
0.900	258.250	0.000
1.050	265.850	0.000
1.200	273.000	0.000
1.350	279.950	0.000
1.500	287.100	0.000
1.650	294.700	0.000
1.800	303.300	0.000
1.950	313.150	0.000
2.100	326.350	0.000
2.250	347.000	0.000
2.400	381.100	0.000
2.550	406.150	0.000
2.700	420.100	0.000
2.850	429.200	0.000
3.000	435.950	0.000
3.150	441.350	0.000
3.300	445.750	0.000
3.450	449.500	0.000
3.600	452.800	0.000
3.750	455.700	0.000
3.900	458.350	0.000
4.050	460.800	0.000
