Based on 'data/vindta/r2co2/Nico/0-0  0  (0)CRM-251110-06-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	167.600	0.000
0.150	193.750	0.000
0.300	220.550	0.000
0.450	237.550	0.000
0.600	249.750	0.000
0.750	259.750	0.000
0.900	268.100	0.000
1.050	275.700	0.000
1.200	283.150	0.000
1.350	290.750	0.000
1.500	298.900	0.000
1.650	308.050	0.000
1.800	319.250	0.000
1.950	334.450	0.000
2.100	360.350	0.000
2.250	395.250	0.000
2.400	415.050	0.000
2.550	426.750	0.000
2.700	434.900	0.000
2.850	441.050	0.000
3.000	445.950	0.000
3.150	450.200	0.000
3.300	453.750	0.000
3.450	456.850	0.000
3.600	459.800	0.000
3.750	462.350	0.000
3.900	464.600	0.000
4.050	466.700	0.000
