Based on 'data/vindta/r2co2/Nico/0-0  0  (0)nose-251014-04-4_2mL-0_15incrmL.bak with acid increment 0.15 mL'
titrant_amount	measurement	temperature
0.000	178.700	0.000
0.150	219.050	0.000
0.300	241.550	0.000
0.450	256.450	0.000
0.600	268.750	0.000
0.750	280.100	0.000
0.900	291.750	0.000
1.050	305.250	0.000
1.200	323.700	0.000
1.350	360.050	0.000
1.500	407.650	0.000
1.650	427.450	0.000
1.800	438.650	0.000
1.950	446.400	0.000
2.100	452.400	0.000
2.250	457.200	0.000
2.400	461.400	0.000
2.550	464.900	0.000
2.700	468.000	0.000
2.850	470.700	0.000
3.000	473.150	0.000
3.150	475.400	0.000
3.300	477.400	0.000
3.450	479.350	0.000
3.600	481.100	0.000
3.750	482.800	0.000
3.900	484.300	0.000
4.050	485.750	0.000
