Based on 'data/vindta/r2co2/Nico/0-0  0  (0)junk-250917-08.bak'
titrant_amount	measurement	temperature
0.000	166.200	0.000
0.150	190.750	0.000
0.300	215.650	0.000
0.450	231.550	0.000
0.600	242.750	0.000
0.750	252.250	0.000
0.900	260.250	0.000
1.050	267.350	0.000
1.200	274.400	0.000
1.350	281.050	0.000
1.500	288.000	0.000
1.650	295.400	0.000
1.800	303.750	0.000
1.950	313.450	0.000
2.100	326.300	0.000
2.250	346.150	0.000
2.400	379.950	0.000
2.550	406.500	0.000
2.700	421.000	0.000
2.850	430.300	0.000
3.000	437.200	0.000
3.150	442.650	0.000
3.300	447.150	0.000
3.450	450.950	0.000
3.600	454.300	0.000
3.750	457.200	0.000
3.900	460.000	0.000
4.050	462.300	0.000
