Time, Cnts,  %T, set_Cell[mA], Cell[°C], Cell[Volt], Cell[mA], Cell[W], Cell[uAs], Cell_ON, Env[°C], TEC[°C], N2Flow[slpm]
2025-11-04 15:37:04,        0,  29.8,   2.3,  24.7,  0.169, -0.002,  0.000,     -2.0,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:05,        0,  29.8,   2.3,  24.7,  0.168, -0.002,  0.000,     -4.3,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:06,        0,  29.8,   2.3,  24.7,  0.168, -0.003,  0.000,     -7.2,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:07,        0,  29.8,   2.3,  24.7,  0.168, -0.003,  0.000,     -9.7,  1,  21.6,   1.0, 0.100
2025-11-04 15:37:08,        0,  29.8,   2.3,  24.7,  0.168, -0.002,  0.000,    -12.0,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:09,        0,  29.8,   2.5,  24.7,  0.167, -0.002,  0.000,    -14.3,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:10,        0,  29.8,   2.3,  24.7,  0.167, -0.003,  0.000,    -16.6,  1,  21.6,   1.0, 0.100
2025-11-04 15:37:11,        0,  29.9,   2.6,  24.7,  0.168, -0.003,  0.000,    -19.7,  1,  21.6,   1.0, 0.100
2025-11-04 15:37:12,        0,  29.8,   2.5,  24.7,  0.168, -0.002,  0.000,    -21.7,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:13,        0,  29.8,   2.3,  24.7,  0.167, -0.002,  0.000,    -24.0,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:14,        0,  29.8,   2.3,  24.7,  0.167, -0.002,  0.000,    -26.3,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:15,        0,  29.8,   2.3,  24.7,  0.167, -0.002,  0.000,    -28.6,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:16,        0,  29.8,   2.3,  24.7,  0.167, -0.002,  0.000,    -30.9,  1,  21.5,   1.1, 0.100
2025-11-04 15:37:17,        0,  29.7,   2.1,  24.7,  0.167, -0.002,  0.000,    -33.2,  1,  21.6,   1.0, 0.100
2025-11-04 15:37:18,        0,  29.8,   2.3,  24.7,  0.167, -0.002,  0.000,    -35.2,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:19,        0,  29.8,   2.5,  24.7,  0.167, -0.002,  0.000,    -38.1,  1,  21.6,   1.0, 0.100
2025-11-04 15:37:20,        0,  29.8,   2.5,  24.7,  0.166, -0.002,  0.000,    -40.3,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:21,        0,  29.8,   2.3,  24.7,  0.166, -0.002,  0.000,    -42.6,  1,  21.5,   1.0, 0.100
2025-11-04 15:37:22,        0,  29.8,   2.5,  24.7,  0.166, -0.002,  0.000,    -45.2,  1,  21.6,   1.0, 0.100
